song,year,dominant_topic,nombre_topic,dominant_prob,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
 Te Necesito ,1995,1,Amor o Anhelo emocional,0.680564647,0.68056465,0.00170961,0.00170975,0.00170983,0.31430617
Tiempo Sin Verte,2024,4,Amor persistente y/o contradicciones,0.886008127,0.03184779,0.00139902,0.07934605,0.88600813,0.00139901
 TQG (part. KAROL G) ,2023,4,Amor persistente y/o contradicciones,0.642397189,0.00152699,0.23895183,0.11559685,0.64239719,0.00152714
Tú,1998,5,"Reflexión, crecimiento y amor trascendente",0.887871687,0.09674154,0.00512828,0.00512931,0.00512919,0.88787169
Última,2024,5,"Reflexión, crecimiento y amor trascendente",0.723131248,0.26927219,0.00253249,0.00253207,0.002532,0.72313125
 Último Momento ,2024,1,Amor o Anhelo emocional,0.99316026,0.99316026,0.00171028,0.00170969,0.00170984,0.00170993
Vuelve,1995,1,Amor o Anhelo emocional,0.890803717,0.89080372,0.09787363,0.00377421,0.00377402,0.00377442
 Waka Waka (Esto Es África) ,2010,1,Amor o Anhelo emocional,0.55368127,0.55368127,0.00512884,0.00512872,0.22424884,0.21181234



